argument -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
1550 0.00282001495361 0.00375008583069 0.00254106521606 0.00332498550415 0.00253415107727 0.00290107727051 0.00251197814941 0.00238013267517 0.00278997421265 0.00233888626099 
1600 0.00225520133972 0.00239396095276 0.00733208656311 0.00246405601501 0.00307989120483 0.00409317016602 0.00900912284851 0.00399994850159 0.00309109687805 0.00313186645508 
1650 0.00329685211182 0.00370192527771 0.00252485275269 0.0212759971619 0.0028190612793 0.00342297554016 0.0364677906036 0.0580151081085 0.0325601100922 0.0304670333862 
1700 0.0620911121368 0.130029201508 0.0643000602722 0.0546290874481 0.0640180110931 0.0403189659119 0.0367212295532 0.0560100078583 0.0370059013367 0.0310459136963 
1750 0.0564579963684 0.00237703323364 0.00251388549805 0.00251984596252 0.00231385231018 0.00327181816101 0.00313496589661 0.00251889228821 0.00355005264282 0.00347805023193 
1800 0.00357103347778 0.00334000587463 0.00317907333374 0.00325798988342 0.00362110137939 0.00278782844543 0.00429201126099 0.00348901748657 0.00275301933289 0.0040078163147 
1850 0.00472807884216 0.00294995307922 0.0044059753418 0.00252795219421 0.00281691551208 0.00459790229797 0.00252485275269 0.00356006622314 0.0059289932251 0.00772714614868 
1900 0.00327491760254 0.00489807128906 0.00451397895813 0.00504493713379 0.0047550201416 0.00285887718201 0.00771284103394 0.00384092330933 0.00315022468567 0.00528693199158 
1950 0.00431108474731 0.00284719467163 0.00321388244629 0.00437593460083 0.00314116477966 0.00259804725647 0.00355005264282 0.00276398658752 0.00254011154175 0.00356101989746 
2000 0.00240397453308 0.00306391716003 0.00329303741455 0.00264620780945 0.00284504890442 0.00261116027832 0.00259184837341 0.00307297706604 0.00268077850342 0.00258278846741 
