argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl 
19500 0.951112866402 0.971474885941 0.938800096512 0.927717089653 0.92705655098 0.943481087685 0.93986093998 0.944476485252 0.929663062096 0.941747546196 
20000 0.954685091972 0.960741043091 0.980846524239 0.959016561508 0.988041400909 1.03178107738 1.01690745354 0.959635972977 0.96259355545 1.01805150509 
20500 1.01434803009 1.05253398418 1.02576851845 1.01465833187 1.06127953529 1.06973350048 1.02235949039 1.01424908638 1.01929605007 1.02677750587 
21000 1.00235497952 1.00466358662 1.01707661152 1.05083250999 1.01218760014 1.04997861385 1.0577660799 1.07175195217 1.05353200436 1.00927960873 
21500 1.0803514719 1.07427597046 1.14576649666 1.08287298679 1.05627298355 1.04873394966 1.0944930315 1.0572924614 1.05884993076 1.04451751709 
22000 1.08347702026 1.07924485207 1.13492000103 1.0704870224 1.07983291149 1.07992053032 1.11904346943 1.14333593845 1.12850141525 1.07731986046 
22500 1.09111046791 1.13045954704 1.10538852215 1.1197245121 1.11262285709 1.09839403629 1.14432287216 1.10829901695 1.2421900034 1.13155055046 
23000 1.13832938671 1.13215911388 1.16960644722 1.17979001999 1.18803656101 1.15695512295 1.13133203983 1.20065450668 1.14237642288 1.17023396492 
23500 1.15508460999 1.13471448421 1.1477035284 1.14146137238 1.15576839447 1.20419645309 1.20921051502 1.18774330616 1.13771045208 1.15373206139 
24000 1.23187208176 1.18278956413 1.1923789978 1.20424354076 1.18825900555 1.18682801723 1.25409114361 1.21234881878 1.19505095482 1.17027962208 
24500 1.2139210701 1.21409702301 1.24909043312 1.21899104118 1.23373103142 1.2418255806 1.22066497803 1.27338898182 1.22462451458 1.27933251858 
25000 1.22531187534 1.32337701321 1.29043507576 1.28432941437 1.22042000294 1.27653503418 1.25486755371 1.30038845539 1.23122990131 1.26230192184 
25500 1.32786297798 1.27682137489 1.3165974617 1.3158800602 1.2921615839 1.2891895771 1.32640898228 1.41989600658 1.39588141441 1.3721820116 
26000 1.39213347435 1.3942630291 1.34364056587 1.29368937016 1.32447504997 1.34854996204 1.30476617813 1.39229440689 1.33219516277 1.31651544571 
26500 1.33246600628 1.30129659176 1.32642304897 1.36375951767 1.35606789589 1.3557779789 1.45054554939 1.35005748272 1.34478545189 1.34464251995 
27000 1.38940238953 1.37222993374 1.447742939 1.38711595535 1.38083994389 1.39219105244 1.45292651653 1.42707955837 1.42670655251 1.36931753159 
27500 1.39316546917 1.38504445553 1.37806594372 1.39177453518 1.37212646008 1.38880455494 1.41891252995 1.3739579916 1.38635754585 1.44541800022 
28000 1.50986993313 1.46385598183 1.47353839874 1.44586241245 1.40061151981 1.42965209484 1.43159401417 1.41087412834 1.4625235796 1.43453848362 
28500 1.4540065527 1.47143602371 1.44267606735 1.48481047153 1.50233411789 1.44938397408 1.51678204536 1.44974851608 1.44861495495 1.47974956036 
29000 1.54527044296 1.50022745132 1.51147854328 1.5195915699 1.5255395174 1.51775145531 1.53224349022 1.50648963451 1.54110205173 1.536267519 
29500 1.51923859119 1.47381150723 1.46496450901 1.49987900257 1.51968789101 1.4795114994 1.51228988171 1.48017156124 1.47808587551 1.48287403584 
30000 1.53778743744 1.53956341743 1.53919708729 1.54526114464 1.59656655788 1.54166245461 1.55015301704 1.56844592094 1.56253004074 1.5504155159 
30500 1.547976017 1.60656952858 1.59566247463 1.56410384178 1.5745074749 1.56335246563 1.56341683865 1.5751439333 1.56342935562 1.55761301517 
31000 1.60191750526 1.60504257679 1.59383547306 1.6396279335 1.62030291557 1.63667356968 1.60856294632 1.63310050964 1.61003100872 1.62143552303 
31500 1.64606499672 1.64123511314 1.68314707279 1.6318564415 1.62672257423 1.63260746002 1.64452791214 1.63849043846 1.61932754517 1.61884081364 
32000 1.64978992939 1.7062754631 1.72693955898 1.64466750622 1.66203558445 1.63830053806 1.66284942627 1.68920552731 1.67100512981 1.65078985691 
32500 1.66330707073 1.65304648876 1.65292596817 1.69127714634 1.73455893993 1.66215395927 1.71417140961 1.66308701038 1.71561348438 1.70241200924 
33000 1.80242657661 1.73755061626 1.74957060814 1.74445056915 1.74261510372 1.72397851944 1.77253448963 1.82766902447 1.75939309597 1.73300743103 
33500 1.81830906868 1.73876357079 1.80151939392 1.82613503933 1.72723853588 1.77199244499 1.81915652752 1.73129653931 1.78491055965 1.80994904041 
34000 1.77050352097 1.77288007736 1.79859638214 1.79890739918 1.75591742992 1.85107004642 1.77515947819 1.79096293449 1.8025380373 1.79310548306 
34500 1.8341230154 1.8669449091 1.92471659184 1.81378149986 1.83816707134 1.81116902828 1.85968291759 1.82719147205 1.82488453388 1.83348095417 
35000 1.83876848221 1.8891774416 1.86915242672 1.85160946846 1.80394458771 1.83685052395 1.83263194561 1.81380105019 1.84242939949 1.81760454178 
35500 1.88806056976 1.8774330616 1.86317193508 1.85846698284 1.87575161457 1.86776697636 1.86845505238 1.86484396458 1.86685943604 1.92183053493 
36000 1.93255650997 1.90305304527 1.92475342751 1.97201657295 1.9228014946 1.93187952042 1.99405837059 1.91406559944 1.93185842037 1.97489547729 
36500 1.8879250288 1.90524148941 1.88623392582 1.87821102142 1.8918299675 1.94947385788 1.92462837696 1.89906442165 2.01131808758 1.8944914341 
37000 2.01643455029 1.95817053318 1.97061347961 1.96720600128 1.99744260311 2.0027359724 1.96868991852 1.99597406387 1.98260641098 1.94645500183 
37500 2.0184481144 2.00276005268 2.02391111851 2.05588948727 2.03987586498 2.01113343239 2.04660403728 2.02947044373 2.00407290459 2.00608551502 
38000 2.03144609928 1.98455262184 2.00106656551 2.0422334671 2.07200312614 2.04094588757 2.02758443356 2.0408154726 2.01730799675 2.01511359215 
38500 2.07208430767 2.09948396683 2.07454419136 2.07043802738 2.05162644386 2.09609043598 2.0778670311 2.0480325222 2.10468649864 2.07079148293 
39000 2.10369002819 2.1124484539 2.05576992035 2.03374958038 2.07664203644 2.05296695232 2.09908902645 2.06967949867 2.08831846714 2.05276441574 
39500 2.12065601349 2.12501251698 2.07431650162 2.07712054253 2.10034298897 2.10555994511 2.07275938988 2.1101180315 2.10626041889 2.09008204937 
40000 2.14669907093 2.16180193424 2.21148502827 2.17186355591 2.13775587082 2.16619586945 2.21687412262 2.17000055313 2.22363555431 2.1569890976 
40500 2.17449057102 2.14960801601 2.12705600262 2.12300646305 2.1832536459 2.1542930603 2.14536762238 2.16863048077 2.13898360729 2.15005850792 
41000 2.18773531914 2.20329248905 2.21326851845 2.19014441967 2.17928802967 2.26245558262 2.1950275898 2.2324655056 2.1912651062 2.33055448532 
41500 2.30212295055 2.322453022 2.26159346104 2.25843799114 2.29919445515 2.31195497513 2.31832337379 2.29643440247 2.25582504272 2.28094804287 
