argument -malin-wl -rand-wl -moms-wl -dlis-wl -wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -wl-cl 
1150 0.165449142456 0.25420999527 0.206033945084 0.217154026031 0.25346493721 0.269737005234 0.301622152328 0.357346057892 0.164687871933 0.266983032227 
1200 0.243228197098 0.149830818176 0.268938064575 0.320904016495 0.648650169373 0.698785066605 0.239139080048 0.350502967834 0.0737221240997 0.173275947571 
1250 0.0674939155579 0.0756049156189 0.0812890529633 0.0744161605835 0.0634069442749 0.149499893188 0.071818113327 0.217736959457 0.190201044083 0.203236818314 
1300 0.2516310215 0.155189990997 0.112967014313 0.106439113617 0.137199878693 0.0601360797882 0.0762288570404 0.11644411087 0.16507601738 0.0950870513916 
1350 0.318867206573 0.366554021835 0.504929065704 0.347345113754 0.275812864304 0.253656864166 0.107742071152 0.211122989655 0.226602077484 0.280702114105 
1400 0.0693581104279 0.0828649997711 0.143402099609 0.0794699192047 0.0677399635315 0.0693950653076 0.136718034744 0.0833029747009 0.0845279693604 0.0664451122284 
1450 0.333853960037 0.225059986115 0.322269916534 0.371888160706 0.50261592865 0.290496110916 0.162052154541 0.194846868515 0.184178113937 0.156132936478 
1500 0.260828971863 0.138339996338 0.233556032181 0.1635658741 0.193108081818 0.0816569328308 0.100227832794 0.15337395668 0.123540878296 0.106915950775 
1550 0.111588954926 0.245485067368 0.138898134232 0.600970029831 0.426187038422 0.196022987366 0.140828847885 0.181960821152 0.179827213287 0.224604129791 
1600 0.0127060413361 0.00991702079773 0.0115718841553 0.0111172199249 0.0100169181824 0.0108749866486 0.00857496261597 0.0162529945374 0.0101261138916 0.0104048252106 
1650 0.00969386100769 0.0088210105896 0.0131070613861 0.0105328559875 0.119465112686 0.00873517990112 0.00911498069763 0.0530421733856 0.00940299034119 0.00844502449036 
1700 0.00825095176697 0.00920915603638 0.0104188919067 0.010586977005 0.0103220939636 0.00823283195496 0.00948596000671 0.0108370780945 0.010890007019 0.0102360248566 
1750 0.0140738487244 0.0118129253387 0.011981010437 0.0125470161438 0.00965094566345 0.0104250907898 0.00898504257202 0.115209102631 0.0108959674835 0.620702028275 
1800 0.672280073166 0.236321210861 0.339924097061 0.373790025711 0.142737865448 0.073860168457 0.121007204056 0.241781949997 0.0948231220245 0.20731306076 
1850 0.262154817581 0.216655015945 0.279392957687 0.0431280136108 0.0349860191345 0.0340309143066 0.0331830978394 0.0415570735931 0.0386319160461 0.0335168838501 
1900 0.0351450443268 0.0866041183472 0.0398440361023 0.0378510951996 0.0335619449615 0.0367460250854 0.0325899124146 0.0390179157257 0.0571181774139 0.0313761234283 
1950 0.0356690883636 0.0312099456787 0.0401439666748 0.03790807724 0.0343880653381 0.429994821548 0.358861923218 0.402305841446 0.0218539237976 0.0151960849762 
2000 0.0188558101654 0.0287339687347 0.0182859897614 0.0170221328735 0.0164670944214 0.0160231590271 0.0147349834442 0.0195000171661 0.0194218158722 0.0183920860291 
